                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.307,                 3.0186,                 1.4222,                0.47414,                 0.6692,                0.60013,                0.37675,                 1.0728,                 2.3799,                 1.2094,                 0.0775,                 0.0025,                 0.0025
                      1,                0.98928,                 1.3197,                 1.1686,                 0.6126,                0.83302,                0.84783,                0.69378,                0.65874,                0.94937,                 0.8654,               0.053848,              0.0048475,              0.0048475
                      2,                0.89691,                 1.1024,                 1.0805,                0.79366,                0.87086,                0.93971,                0.73571,                0.70786,                 1.7698,                0.86936,               0.029938,              0.0069377,              0.0069377
                      3,                0.82996,                 1.3018,                  1.049,                0.76383,                0.82718,                0.90332,                0.74515,                0.65147,                  2.021,                0.84091,               0.008515,               0.008515,               0.008515
                      4,                0.87701,                 1.1767,                 1.0745,                 0.8789,                0.67893,                0.82123,                0.66601,                0.67457,                 1.1415,                0.85865,               0.008515,               0.008515,               0.008515
                      5,                0.86077,                 1.0094,                  1.047,                0.84412,                0.88432,                0.90351,                0.70457,                 0.6865,                0.79651,                0.85038,                0.00802,                0.00802,                0.00802
                      6,                 0.8742,                0.89683,                 1.0672,                0.89009,                0.85809,                0.93665,                0.74524,                0.68434,                0.67057,                0.84343,               0.007525,               0.007525,               0.007525
                      7,                0.83823,                 0.8025,                 1.0293,                0.76849,                 0.9257,                0.95065,                0.75842,                0.65598,                0.80524,                0.82668,                0.00703,                0.00703,                0.00703
                      8,                0.87547,                0.80878,                  1.046,                0.88651,                 0.9268,                0.94222,                0.77805,                0.68174,                0.67235,                0.84379,               0.006535,               0.006535,               0.006535
                      9,                0.78046,                0.63076,                 1.0059,                0.93241,                0.91657,                0.93709,                0.76117,                0.69992,                0.57901,                0.84276,                0.00604,                0.00604,                0.00604
                     10,                0.73347,                0.64047,                0.96145,                0.94714,                 0.9159,                0.95822,                0.80037,                0.66941,                0.55062,                0.83752,               0.005545,               0.005545,               0.005545
                     11,                0.73248,                0.58899,                0.95482,                0.90337,                0.92976,                 0.9546,                0.79348,                0.66426,                0.56552,                0.84778,                0.00505,                0.00505,                0.00505
                     12,                 0.6945,                0.53373,                 0.9252,                0.89614,                0.91592,                0.95764,                0.78196,                 0.6934,                0.60886,                0.84612,               0.004555,               0.004555,               0.004555
                     13,                0.75059,                0.57482,                0.93798,                0.95345,                 0.9037,                0.95832,                0.77695,                0.68686,                0.54558,                0.85375,                0.00406,                0.00406,                0.00406
                     14,                0.71138,                0.51306,                0.95048,                 0.9455,                0.91177,                0.96084,                0.77861,                0.68095,                0.54884,                0.86023,               0.003565,               0.003565,               0.003565
                     15,                0.69673,                0.48779,                0.92637,                0.94242,                0.90281,                 0.9648,                0.77821,                0.68419,                0.54872,                0.85824,                0.00307,                0.00307,                0.00307
                     16,                0.66388,                0.45879,                0.93715,                0.93494,                0.91767,                 0.9626,                0.77617,                0.68386,                0.51373,                0.85392,               0.002575,               0.002575,               0.002575
                     17,                0.65655,                0.43835,                0.91577,                0.93134,                0.91476,                0.96332,                0.77476,                0.68589,                0.50899,                0.85399,                0.00208,                0.00208,                0.00208
                     18,                 0.6532,                0.44571,                0.93946,                0.93626,                0.91655,                0.96782,                 0.7868,                0.69134,                 0.4864,                0.85334,               0.001585,               0.001585,               0.001585
                     19,                0.64208,                0.42681,                0.89291,                0.93172,                0.91916,                0.97144,                0.79564,                0.68212,                0.46195,                0.85291,                0.00109,                0.00109,                0.00109
